results_studies_id,results_id,results_position,results_queries_id,query,results_url,results_main,results_se,hash
54,697733,1,3845,Migratten Bad Kissingen,"https://www.bitchute.com/video/8gx250AqjRkS/","https://www.bitchute.com/",Google40,7b294fa41bbf77547da1bb2c1233dee4
54,697734,2,3845,Migratten Bad Kissingen,"http://www.vineyardsaker.de/2020/04/05/dies-und-das-arschbacken-zusammen-kneifen-und-geradeaus-schauen/","http://www.vineyardsaker.de/",Google40,1cd4c4e0445aa8439fa77f100c7e55fa
54,697735,3,3845,Migratten Bad Kissingen,"http://www.vineyardsaker.de/2016/11/09/sondermeldung-trump-so-gut-wie-sicher-gewinner/","http://www.vineyardsaker.de/",Google40,095e990f3f9dcb1ec5b5fb18c8cdc3ee
54,697736,4,3845,Migratten Bad Kissingen,"https://www.n8waechter.net/medien-propaganda/gemengelage-am-18-april-2018/","https://www.n8waechter.net/",Google40,404ba8e589c1e1f6d2453f880a07a323
54,697763,1,3847,Migratten Büdingen,"https://karleduardskanal.wordpress.com/2016/03/23/fluechtlinge-retten-npd/","https://karleduardskanal.wordpress.com/",Google40,7326622f58a7d24eedf8d80106ab7918
54,697764,2,3847,Migratten Büdingen,"https://vitzlisneuer.wordpress.com/2019/09/20/20-9-2019-das-neue-vom-heute/","https://vitzlisneuer.wordpress.com/",Google40,994d217f86b9bb28eaca3975b27d5b42
54,697780,1,3849,Migratten Burg,"https://www.nachrichten.at/nachrichten/ticker/Verhetzung-Anzeige-gegen-unzensuriert-at;art449,1130780","https://www.nachrichten.at/",Google40,49d8ee582abd867d22948a4d867f0362
54,697781,2,3849,Migratten Burg,"https://forschungsgruppefipu.files.wordpress.com/2016/02/fipu_chronik_2013.pdf","https://forschungsgruppefipu.files.wordpress.com/",Google40,3ffaa9ca1f32e77efee755cf2ef3f46c
54,697782,3,3849,Migratten Burg,"https://zossen.initiativenserver.de/?page_id=875","https://zossen.initiativenserver.de/",Google40,ab4cfb7e14038633c277c9fb18445137
54,697783,4,3849,Migratten Burg,"https://pronoever.files.wordpress.com/2015/03/prono-ever-geschrieben-in-c3b6sterreich-roman.pdf","https://pronoever.files.wordpress.com/",Google40,f68e01110f0555520b9296f3dc816b22
54,697784,5,3849,Migratten Burg,"http://www.newspapers.com/newspage/448832807/","http://www.newspapers.com/",Google40,6f506e737e217742e655cb62910b77d1
54,697785,6,3849,Migratten Burg,"http://www.pi-news.net/2018/08/cdu-hamburg-will-muslimin-ayguel-oezkan-als-buergermeisterin/","http://www.pi-news.net/",Google40,351ed091acdb402e427ccf15faaafa7b
54,697786,7,3849,Migratten Burg,"https://vitzlisneuer.wordpress.com/2019/07/30/zigeuner/","https://vitzlisneuer.wordpress.com/",Google40,637a5d88cb2b8f15f905cc9bf9864fd3
54,697787,8,3849,Migratten Burg,"https://www.vineyardsaker.de/2017/10/02/dies-und-das-die-katalonische-granate/","https://www.vineyardsaker.de/",Google40,97c4e1b5a249787ce8cb7f15b832cfb8
54,697788,9,3849,Migratten Burg,"http://www.vineyardsaker.de/2016/11/27/ein-mahnendes-wort-an-die-polizei/","http://www.vineyardsaker.de/",Google40,4437467068b966dc3e9fc6d7b80418a5
54,697789,10,3849,Migratten Burg,"https://www.politikforen.net/archive/index.php/t-120522-p-2.html","https://www.politikforen.net/",Google40,4303bdd6378ea13bb27ad3e8d92d7f1c
54,697790,11,3849,Migratten Burg,"https://pronoever.com/2014/03/","https://pronoever.com/",Google40,1b6f5bae222ad102fdc37467099b9a50
54,697791,12,3849,Migratten Burg,"https://websitemarketing24dotcom.wordpress.com/2017/12/page/9/","https://websitemarketing24dotcom.wordpress.com/",Google40,42c32c8deee463a5077f26400351f3c3
54,697792,13,3849,Migratten Burg,"https://willibald66.wordpress.com/2017/12/page/9/","https://willibald66.wordpress.com/",Google40,fbc1ed1e44eb7fa6bd74e24092dcbc70
54,697793,14,3849,Migratten Burg,"https://archive.org/stream/oaklawnindepende00oakl_13/oaklawnindepende00oakl_13_djvu.txt","https://archive.org/",Google40,8b41a95904603dccf7911465ac7f6356
54,697794,15,3849,Migratten Burg,"https://fv.stim-parquet.ru/521","https://fv.stim-parquet.ru/",Google40,1d8d172de46d3263445ddfb32a69212f
54,697795,16,3849,Migratten Burg,"https://iq.remstirmasch.ru/341","https://iq.remstirmasch.ru/",Google40,f1ecdeb77fde29ebe641490329a593f8
54,697796,17,3849,Migratten Burg,"https://dz.homutkrug.ru/392","https://dz.homutkrug.ru/",Google40,47aec80874834c658e637b8f91d479de
54,697797,18,3849,Migratten Burg,"http://jfoftzeacp.ddns.net/mein-unermesslich-reich-ist-der-gedanke-weimarer-reden--uber-schiller-zeh.html","http://jfoftzeacp.ddns.net/",Google40,e8bdd0be52461399e420304a0fe86adf
54,697798,19,3849,Migratten Burg,"http://ebnflhfxp.inoxdvr.com/das-wilde-bergvolk-nee.html","http://ebnflhfxp.inoxdvr.com/",Google40,d1d03e5ec3d6b3877410694142e95878
54,697698,1,3851,Migratten Neusäß,"https://www.globalecho.org/26475/sudtirol-migratten-greifen-nikolaus-an/","https://www.globalecho.org/",Google40,5d5e4157cb0e480036b32e1134501a81
54,697699,2,3851,Migratten Neusäß,"https://www.oe24.at/oesterreich/politik/anzeige-gegen-graf-nahe-website/105649253","https://www.oe24.at/",Google40,60244116c521cd874a1a6178d83237e1
54,697700,3,3851,Migratten Neusäß,"http://www.pi-news.net/2015/06/juso-bei-anti-rassismus-fussballspiel-in-augsburg-die-haben-einen-negerbonus/","http://www.pi-news.net/",Google40,fc5ee572aa2eefe909204a2a4e338268
54,697701,4,3851,Migratten Neusäß,"http://www.pi-news.net/2018/06/von-storch-ueber-merkels-moerder-vergewaltiger-und-kriegsverbrecher/","http://www.pi-news.net/",Google40,0615dc6c1893efba8fa27426bf272d85
54,697702,5,3851,Migratten Neusäß,"https://www.contra-magazin.com/2017/09/neues-druckmittel-beschlagnahmung-ungarischen-auslandsvermoegens/","https://www.contra-magazin.com/",Google40,913d07a11f45ddd3dbaeaac743949490
